Freq.	V(vout)/(V(vinp)-V(vinn))
1.00000000000000e+03	(4.34689658390097e+01dB,-5.80442981167643e-02°)
1.12201845430196e+03	(4.34689646847507e+01dB,-6.51267678837374e-02°)
1.25892541179417e+03	(4.34689632316385e+01dB,-7.30734272839692e-02°)
1.41253754462275e+03	(4.34689614022280e+01dB,-8.19897224181939e-02°)
1.58489319246111e+03	(4.34689590992553e+01dB,-9.19939653542133e-02°)
1.77827941003892e+03	(4.34689561999107e+01dB,-1.03218903840203e-01°)
1.99526231496888e+03	(4.34689525498623e+01dB,-1.15813482493351e-01°)
2.23872113856834e+03	(4.34689479547139e+01dB,-1.29944818780088e-01°)
2.51188643150958e+03	(4.34689421681616e+01dB,-1.45800419944772e-01°)
2.81838293126445e+03	(4.34689348853327e+01dB,-1.63590670371107e-01°)
3.16227766016838e+03	(4.34689257168779e+01dB,-1.83551621930368e-01°)
3.54813389233575e+03	(4.34689141744891e+01dB,-2.05948124654831e-01°)
3.98107170553497e+03	(4.34688996435586e+01dB,-2.31077338750286e-01°)
4.46683592150963e+03	(4.34688813494100e+01dB,-2.59272674357714e-01°)
5.01187233627272e+03	(4.34688583178840e+01dB,-2.90908211015734e-01°)
5.62341325190348e+03	(4.34688293244393e+01dB,-3.26403654837460e-01°)
6.30957344480192e+03	(4.34687928234462e+01dB,-3.66229898152259e-01°)
7.07945784384137e+03	(4.34687468723418e+01dB,-4.10915254838656e-01°)
7.94328234724280e+03	(4.34686890252002e+01dB,-4.61052451830257e-01°)
8.91250938133744e+03	(4.34686161988649e+01dB,-5.17306467466077e-01°)
9.99999999999999e+03	(4.34685245193618e+01dB,-5.80423318321058e-01°)
1.12201845430196e+04	(4.34684091026355e+01dB,-6.51239904703645e-01°)
1.25892541179417e+04	(4.34682638071632e+01dB,-7.30695041640006e-01°)
1.41253754462275e+04	(4.34680808983636e+01dB,-8.19841810110185e-01°)
1.58489319246111e+04	(4.34678506399330e+01dB,-9.19861381570072e-01°)
1.77827941003892e+04	(4.34675607803965e+01dB,-1.03207848088973e+00°)
1.99526231496888e+04	(4.34671958962200e+01dB,-1.15797866635829e+00°)
2.23872113856833e+04	(4.34667365764901e+01dB,-1.29922762202878e+00°)
2.51188643150957e+04	(4.34661583956207e+01dB,-1.45769266723028e+00°)
2.81838293126445e+04	(4.34654306194760e+01dB,-1.63546669736819e+00°)
3.16227766016837e+04	(4.34645145768542e+01dB,-1.83489477315036e+00°)
3.54813389233575e+04	(4.34633616239122e+01dB,-2.05860357200007e+00°)
3.98107170553496e+04	(4.34619105744361e+01dB,-2.30953388988091e+00°)
4.46683592150962e+04	(4.34600845022885e+01dB,-2.59097635310837e+00°)
5.01187233627271e+04	(4.34577867040126e+01dB,-2.90661041106666e+00°)
5.62341325190348e+04	(4.34548956765340e+01dB,-3.26054658980175e+00°)
